,Rank,Player Name,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes,90s,Goals,Assist,G+A,G-PK,Penalty Kicks Scored,Penalty Kicks Taken,Yellow Card,Red Card,xG,npxG,xAG,npxG+xAG,Prog Carry,Prog Pass,Prog Pass Rec,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90,Tackles Done,Tackles Won,Def 3rd Tackle,Mid 3rd Tackle,Att 3rd Tackle,Dribblers Tackled,Drib Tackle Attempt,Drib Tack Won%,Drib Tack Lost,Blocks Total,Shots Block,Pass Block,Intercept,Tack + Intercept,Clearance,Errors to shot
10,11,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24-227,2000,6,5,413,4.6,0,0,0,0,0,1,0,0,3.0,2.3,0.1,2.4,7,6,34,0.00,0.00,0.00,0.00,0.00,0.66,0.02,0.69,0.49,0.51,1,0,0,0,1,0,2,0.0,2,3,0,3,2,3,0,0
11,12,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25-206,1999,8,8,612,6.8,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.1,6,19,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,8,5,3,5,0,2,5,40.0,3,6,3,3,15,23,32,0
12,13,Tammy Abraham,eng ENG,FW,Roma,it Serie A,27-000,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
13,14,Tammy Abraham,eng ENG,FW,Milan,it Serie A,27-000,1997,4,3,257,2.9,1,1,2,0,1,1,0,0,1.8,1.0,0.3,1.3,0,3,17,0.35,0.35,0.70,0.00,0.35,0.64,0.09,0.73,0.36,0.45,4,1,0,4,0,0,0,,0,2,0,2,1,5,3,0
14,15,Federico Accornero,it ITA,MF,Genoa,it Serie A,20-240,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
15,16,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36-235,1988,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,16,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,4,5,1,0,2,3,66.7,1,5,5,0,9,15,22,0
16,17,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24-247,2000,6,5,461,5.1,3,1,4,3,0,0,1,0,2.6,2.6,0.6,3.2,2,3,21,0.59,0.20,0.78,0.59,0.78,0.51,0.11,0.62,0.51,0.62,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,2,0
17,18,Che Adams,sct SCO,"FW,MF",Torino,it Serie A,28-081,1996,6,3,355,3.9,3,1,4,3,0,0,0,0,1.5,1.5,0.7,2.2,3,4,20,0.76,0.25,1.01,0.76,1.01,0.38,0.18,0.56,0.38,0.56,2,1,0,1,1,0,0,,0,2,2,0,0,2,1,0
18,19,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23-118,2001,5,5,408,4.5,2,1,3,2,0,0,2,0,2.1,2.1,1.1,3.3,3,2,20,0.44,0.22,0.66,0.44,0.66,0.47,0.25,0.72,0.47,0.72,0,0,0,0,0,0,0,,0,3,0,3,2,2,4,0
19,20,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,27-008,1997,2,1,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,2,2,2,0,0,1,1,100.0,0,2,2,0,1,3,6,0
